Date,ADBE,APPF,AVLR,BL,BOX,COUP,CRM,CRWD,DBX,DDOG,DOCU,DOMO,ESTC,EVBG,FIVN,FSLY,HUBS,JCOM,MDLA,MIME,NET,NEWR,NOW,PAYC,PCTY,PD,PFPT,PLAN,PS,PYPL,QLYS,QTWO,RNG,RP,SHOP,SMAR,SQ,TEAM,TENB,TWLO,TWOU,VEEV,WDAY,WORK,ZEN,ZM,ZS,ZUO,OKTA,WIX,WK,YEXT
16/1/2020,345.38000489999996,122.84999850000001,85.87999725,61.88000107,16.60000038,168.9799957,182.6900024,62.24000168,18.0,40.61000061,73.08000183,24.96999931,71.87000275,89.0,73.30999756,24.07999992,181.71000669999998,103.1299973,31.93000031,50.00999832,18.95999908,72.44000244,310.019989,294.30999760000003,139.1100006,25.37000084,125.3600006,57.00999832,20.07999992,115.40000149999999,85.33999634,86.72000122,190.83000180000002,57.54999924,451.29998780000005,46.09000015,69.51999664,134.72000119999998,26.87000084,119.58000179999999,21.77000046,147.32000730000001,182.77999880000002,22.96999931,84.69999695,76.11000061,61.81999969,15.65999985,128.4,142.67,45.68,15.35
17/1/2020,349.73999019999997,124.09999850000001,84.65000153,62.29499817,16.27000046,169.42999269999999,182.2299957,63.45000076,18.02000046,41.18999863,72.52999878,24.11000061,70.47000122,88.19999695,73.58000183,24.40999985,181.72000119999998,102.41999820000001,31.77000046,49.97000122,18.60000038,70.47000122,312.519989,296.23999019999997,141.6000061,25.22999954,123.2600021,56.52000046,19.76000023,116.04000090000001,84.90000153,87.69999695,192.8899994,57.86000061,454.88000489999996,45.25999832,69.37999725,132.8500061,26.68000031,119.3600006,22.84000015,148.07000730000001,181.0599976,22.45999908,83.97000122,75.55999756,59.43000031,15.35000038,125.83,140.27,45.15,15.63
21/1/2020,350.0,123.41999820000001,84.83000183,62.25999832,16.27000046,169.57000730000001,185.2700043,62.24000168,17.63999939,41.13000107,73.12999725,24.29000092,70.33000183,87.75,73.15000153,24.44000053,181.83999630000002,103.4700012,31.10000038,49.5,18.0,70.44000244,312.980011,299.7799988,140.9799957,24.76000023,124.72000120000001,56.33000183,19.71500015,116.15000149999999,85.41999817,87.19999695,196.2599945,57.79000092,465.4400024,46.33000183,68.30999756,131.3200073,26.62000084,119.08000179999999,21.91500092,146.08999630000002,182.3099976,22.30999947,85.56999969,76.73000336,60.50999832,15.18000031,125.26,140.38,44.81,15.75
22/1/2020,350.05999760000003,125.3899994,84.25,61.38999939,16.18000031,167.5099945,182.75,62.56999969,17.53000069,42.22000122,74.40000153,24.87000084,68.91999817,88.76999664,71.48999786,24.65999985,183.42999269999999,102.3700027,31.42000008,49.24000168,18.04999924,70.66999817,312.85000610000003,303.2799988,140.88000490000002,25.37999916,126.70999909999999,55.59000015,19.40999985,115.5,86.09999847,88.37000275,195.11999509999998,57.50999832,464.76000980000003,47.29999924,68.69000244,131.4600067,26.78000069,119.1200027,21.63999939,145.6900024,182.41000369999998,22.13999939,85.18000031,75.54000092,59.91999817,15.39000034,125.02,140.01,44.27,15.52
23/1/2020,351.76000980000003,125.5699997,83.22000122,60.49000168,16.32999992,165.25,183.9799957,61.54999924,17.70999908,42.81000137,74.33000183,25.78000069,68.02999878,87.125,70.80000305,25.18000031,185.41000369999998,102.25,31.12999916,49.86000061,18.17000008,69.98000336,311.4599915,314.85000610000003,139.57000730000001,24.15999985,127.1600037,56.88999939,19.92000008,117.8899994,87.01000214,88.16000366,197.6499939,58.36999893,469.25,46.77999878,69.29000092,132.6399994,27.04000092,120.8000031,21.46500015,145.57000730000001,184.38000490000002,21.21999931,85.97000122,74.47000122,59.31000137,15.77999973,127.84,140.41,45.29,15.32
24/1/2020,351.36999510000004,124.6800003,82.36000061,60.27999878,16.20999908,163.6999969,182.1100006,59.25,17.34000015,42.04999924,74.18000031,25.20999908,66.38999939,89.80000305,70.87000275,24.01000023,184.8500061,100.0,30.62999916,50.13000107,17.77000046,68.48999786,309.39001460000003,314.80999760000003,138.66999819999998,23.71999931,128.5800018,57.99000168,19.77000046,116.9800034,86.75,87.15000153,197.33999630000002,58.43999863,465.48001100000005,46.54999924,71.13999939,146.78999330000002,27.0,121.3799973,19.78000069,145.1900024,186.07000730000001,20.59000015,86.19000244,73.0,57.79999924,15.44999981,129.66,141.03,45.41,15.04
27/1/2020,346.89999389999997,125.0599976,81.91000366,58.59999847,15.34000015,161.3099976,180.71000669999998,58.06000137,16.95000076,41.25500107,72.76999664,24.59000015,65.11000061,89.29000092,70.68499756,22.86000061,182.5599976,98.73999786,29.84000015,48.86000061,17.81999969,67.70999908,307.63000489999996,312.5299988,137.66000369999998,23.10000038,128.2299957,56.75,19.45999908,115.2399979,85.29000092,86.73000336,195.1499939,58.08000183,451.1099853999999,45.25,71.05000305,143.83000180000002,26.55999947,120.5500031,18.84000015,141.77999880000002,183.96000669999998,20.05999947,84.90000153,70.44000244,56.04000092,15.01000023,125.82,139.63,44.97,14.95
28/1/2020,354.63000489999996,127.59999850000001,83.33999634,59.68999863,15.22000027,165.3600006,182.8500061,59.06999969,17.13999939,42.15999985,74.93000031,25.03000069,65.98999786,90.5,72.23999786,23.65999985,184.41000369999998,99.75,29.62000084,50.02000046,18.07999992,67.69999695,314.0499878,318.5899963,140.58999630000002,23.65999985,128.13000490000002,58.47999954,20.01000023,116.5199966,87.22000122,87.93000031,200.61999509999998,58.56999969,467.66000369999995,46.61999893,74.80000305,149.2700043,26.80999947,122.7600021,19.82999992,145.4900055,186.67999269999999,20.97999954,85.87000275,71.51000214,56.5,15.06000042,127.47,142.8,45.97,15.23
29/1/2020,351.6600037,128.6100006,84.80000305,59.66999817,15.28999996,165.2599945,181.7700043,60.25999832,16.95000076,43.91999817,76.91999817,24.80999947,66.26999664,91.12999725,71.63999939,24.29999924,182.5200043,98.80000305,29.19000053,50.34999847,17.59000015,68.22000122,312.92999269999996,322.0499878,140.66999819999998,24.35000038,127.9899979,57.61999893,19.94000053,116.6600037,87.23000336,87.5,203.2299957,59.02000046,471.67001339999996,47.45000076,76.16000366,149.1499939,27.43000031,123.8000031,19.61000061,145.41999819999998,183.6100006,20.79999924,86.0,73.58000183,57.13000107,14.85000038,129.0,143.4,45.74,15.18
30/1/2020,356.73999019999997,132.2299957,87.48000336,60.90999985,15.22000027,165.78999330000002,185.66999819999998,62.45000076,17.01000023,47.04000092,79.11000061,24.69000053,66.13999939,91.61000061,72.68000031,23.35000038,183.91000369999998,99.11000061,28.85000038,50.72000122,18.31999969,68.25,341.61999510000004,325.61999510000004,142.4799957,24.61000061,125.8899994,58.36999893,19.76000023,117.1200027,86.80999756,89.83000183,206.02999880000002,59.29000092,476.88000489999996,49.08000183,76.09999847,149.58000180000002,27.52000046,124.8099976,20.04999924,150.25,188.1499939,20.63999939,87.0,74.54000092,57.68999863,15.0,132.94,144.91,47.09,15.35
